timestamp,textblob_score,High,Low,Open,Close,Volume,Marketcap
2017-12-05,0.05,12032.0,11604.599609375,11685.7001953125,11916.7001953125,6.89526016E9,1.9927835042E11
2019-04-25,0.16766666666666666,5542.23830474,5181.33901806,5466.52427676,5210.515558619999,1.5330283408049402E10,9.20464928636906E10
2018-08-23,0.0,6546.54,6371.34,6371.34,6534.88,3.42618E9,1.12577436411E11
2019-04-08,0.07866666666666668,5318.83648777,5148.21181354,5199.83537777,5289.77104039,1.7154113634321402E10,9.32863659730142E10
2019-04-26,0.20983333333333334,5383.63441532,5177.36851375,5210.304919809999,5279.348211470001,1.6812108039627302E10,9.32722879597983E10
2018-05-15,0.0,8836.1904296875,8456.4501953125,8705.1904296875,8510.3798828125,6.70571008E9,1.44979744412E11
2018-12-17,0.125,3597.9178884999997,3253.12299273,3253.12299273,3545.86476058,5.40924791811952E9,6.17989266865305E10
2017-09-12,0.4,4344.64990234375,4085.219970703125,4168.8798828125,4130.81005859375,1.864530048E9,6.8412822896E10
2018-05-03,0.02,9798.330078125,9188.150390625,9233.9697265625,9743.8603515625,1.0207299584E10,1.65778380092E11
2018-10-10,0.08,6640.29,6538.96,6640.29,6585.53,3.78765E9,1.14030835912E11
2018-11-13,0.0,6395.27,6342.67,6373.19,6359.49,4.5038E9,1.1049446620413E11
2018-12-30,0.0,3901.9090156999996,3797.21912198,3822.38483485,3865.95257679,4.77057857497409E9,6.74755128273938E10
2018-02-27,-0.05,10878.5,10246.099609375,10393.900390625,10725.599609375,6.96617984E9,1.8115886982E11
2018-08-24,0.0,6719.96,6498.64,6551.52,6719.96,4.09782E9,1.15778358839E11
2017-12-03,0.0,11858.7001953125,10862.0,11082.7001953125,11323.2001953125,6.60830976E9,1.8930238992E11
2018-11-26,0.35,4107.14,3643.92,4015.07,3779.13,6.4769E9,6.57392890455E10
2017-12-08,-0.5,18353.400390625,14336.900390625,17802.900390625,16569.400390625,2.1135998976E10,2.77185764485E11
2018-09-27,0.06666666666666667,6712.100000000001,6464.95,6495.29,6676.75,4.60681E9,1.15454861756E11
2018-10-23,0.6,6506.01,6451.27,6472.36,6475.74,3.71615E9,1.12279779884E11
2018-09-15,0.0,6561.72,6493.55,6509.4,6543.2,3.2163E9,1.13000324618E11
2018-11-12,0.0,6434.21,6360.47,6411.76,6371.27,4.29577E9,1.106896665275E11
2018-08-04,0.16666666666666666,7497.490000000001,6984.07,7438.670000000001,7032.850000000001,4.26839E9,1.20899698889E11
2019-04-18,0.0,5319.98611387,5250.50665911,5251.48069196,5298.38569881,1.32564899180909E10,9.35324027410929E10
2019-01-08,0.0,4109.02106516,3996.95525626,4028.47207166,4030.84799935,5.306593305067229E9,7.04227438542439E10
2019-04-22,-0.051000000000000004,5422.68742206,5280.276728669999,5312.4946420100005,5399.365410090001,1.4601631647996098E10,9.535420777592679E10
2018-07-28,0.25,8222.849609375,8110.77001953125,8169.06005859375,8192.150390625,3.98875008E9,1.4071656055E11
2019-03-03,0.0,3875.48371414,3836.90573367,3862.26616642,3847.17569934,7.253558152321779E9,6.75923763731992E10
2018-05-31,0.0,7608.89990234375,7361.1298828125,7406.14990234375,7494.169921875,5.127130112E9,1.2790299939E11
2018-07-20,0.009666666666666665,7594.669921875,7323.259765625,7467.39990234375,7354.1298828125,4.936869888E9,1.26202570251E11
2018-08-09,0.0,6625.73,6249.07,6305.56,6568.23,4.26704E9,1.1297396323E11
2018-10-07,0.0,6641.49,6557.04,6590.68,6602.95,3.30663E9,1.14298880311E11
2018-12-15,0.0,3275.37782696,3191.30356157,3243.99754038,3236.76164502,3.5517635613803897E9,5.64006914246544E10
2018-08-29,0.122,7113.3,6970.82,7091.71,7047.16,4.14588E9,1.21484666374E11
2017-01-27,0.0,923.2230224609376,915.8460083007812,918.3590087890624,919.75,1.25594E8,1.48348317E10
2017-05-24,0.45,2523.719970703125,2321.3701171875,2321.3701171875,2443.639892578125,1.725379968E9,3.9952841999E10
2018-06-10,0.0,7499.5498046875,6709.06982421875,7499.5498046875,6786.02001953125,5.804839936E9,1.15948312827E11
2018-07-29,0.0,8272.259765625,8141.18017578125,8205.8203125,8218.4599609375,4.107190016E9,1.41185844808E11
2018-09-12,-0.05525,6363.87,6265.09,6317.01,6351.8,4.06423E9,1.09661521297E11
2019-04-01,0.08866666666666667,4164.95332383,4096.90125463,4105.36242087,4158.18307045,1.0157794170601E10,7.3269368747441E10
2018-12-04,0.138,4075.62765492,3832.74993843,3886.2948763000004,3956.89386975,5.02806923931427E9,6.88782926075452E10
2019-03-28,0.0335,4094.90217427,4040.26644055,4087.584591,4069.10714977,9.353915899018291E9,7.16789989153443E10
2018-02-07,0.4,8509.1103515625,7236.7900390625,7755.490234375,7621.2998046875,9.16928E9,1.28435001186E11
2018-06-25,0.0,6327.3701171875,6119.68017578125,6171.97021484375,6249.18017578125,5.50081024E9,1.06958465208E11
2018-03-28,0.0,8122.89013671875,7809.169921875,7836.830078125,7954.47998046875,4.935289856E9,1.34788265876E11
2019-01-04,0.4,3865.93453193,3783.8536653000006,3832.03996811,3857.71761887,4.84796546709122E9,6.7368333500342995E10
2018-01-01,0.418,14112.2001953125,13154.7001953125,14112.2001953125,13657.2001953125,1.02912E10,2.29119155396E11
2017-10-16,0.136,5776.22998046875,5544.2099609375,5687.56982421875,5725.58984375,2.008070016E9,9.5203392843E10
2019-04-29,0.08050000000000002,5311.274682349999,5216.48796096,5284.85852173,5247.35253746,1.3735490672316801E10,9.27375108650381E10
